tau;amplptb;seed;omega_m_m_2;sigma_ksi;mu_m_m;intptb;omega_b_2;mu_g;wmin;type;mu_b;sigma_e;rateptb;omega_m_e_2;rho_t;mu_m_e;mu_m_g;omega_m_g_2;int_t0;rate_t0;ampl_t0;sdmu;omega2;generation;epsilon;nsurv;ksi;meanz;varz;meang;varg;meanm_m;varm_m;meanm_g;varm_g;meanm_e;varm_e;meanb;varb;file
0.75;2;263962472;100;0.01;0;0;100;0.01;0;three_types;0;1;1.46608;100;0;0;0;100;0;1.46608;2;0.02;0.7;50000;-1.16146;1256;-0.00686043;-0.0364114;1.10345;-0.0435216;0.116278;0;0;0;0;0;0;0;0;./core_5/sim_evolving_m_8_11_2016_005507_244370533
0.25;2;113390661;100;0.01;0;0;100;0.01;0;three_types;0;1;1.46608;100;0;0;0;100;0;1.46608;2;0.02;40;50000;-1.16617;4722;0.00075487;0.0885703;1.55847;0.0877138;0.545591;0;0;0;0;0;0;0;0;./core_5/sim_evolving_m_8_11_2016_011521_98740482
0.75;2;414924672;100;0.01;0;0;100;0.01;0;three_types;0;1;1.46608;100;0;0;0;100;0;1.46608;2;0.02;40;50000;-1.18596;4730;-0.0166633;-0.0565076;1.46372;-0.0693117;0.468543;0;0;0;0;0;0;0;0;./core_5/sim_evolving_m_8_11_2016_013641_400414632
0.25;2;44366201;100;0.01;0;0;100;0.01;0;three_types;0;1;1.5708;100;0;0;0;100;0;1.5708;2;0.02;0.7;50000;2.00054;3134;-0.0125955;-0.0373846;1.0765;-0.0473866;0.110752;0;0;0;0;0;0;0;0;./core_6/sim_evolving_m_7_11_2016_205920_872661551
0.75;2;27921694;100;0.01;0;0;100;0.01;0;three_types;0;1;1.5708;100;0;0;0;100;0;1.5708;2;0.02;0.7;50000;1.99951;3040;0.00383435;-0.0503657;1.10115;-0.0272343;0.108215;0;0;0;0;0;0;0;0;./core_6/sim_evolving_m_7_11_2016_212101_13455085
0.25;2;892144573;100;0.01;0;0;100;0.01;0;three_types;0;1;1.5708;100;0;0;0;100;0;1.5708;2;0.02;40;50000;2.00771;4909;-0.00771295;0.00414252;1.68427;0.00625233;0.697174;0;0;0;0;0;0;0;0;./core_6/sim_evolving_m_7_11_2016_213658_877784055
0.75;2;240664657;100;0.01;0;0;100;0.01;0;three_types;0;1;1.5708;100;0;0;0;100;0;1.5708;2;0.02;40;50000;2.00739;4898;-0.000649744;-0.0330396;1.55236;-0.0591856;0.559683;0;0;0;0;0;0;0;0;./core_6/sim_evolving_m_7_11_2016_220646_226054046
0.25;2;553015681;100;0.01;0;0;100;0.01;0;three_types;0;1;1.67552;100;0;0;0;100;0;1.67552;2;0.02;0.7;50000;-1.17281;1271;0.00391565;0.0860969;1.13507;0.0778604;0.13881;0;0;0;0;0;0;0;0;./core_6/sim_evolving_m_7_11_2016_222341_538527023
0.75;2;830416918;100;0.01;0;0;100;0.01;0;three_types;0;1;1.67552;100;0;0;0;100;0;1.67552;2;0.02;0.7;50000;-1.17354;1376;-0.0116341;0.144346;1.11943;0.126361;0.129315;0;0;0;0;0;0;0;0;./core_6/sim_evolving_m_7_11_2016_224303_815645927
0.25;2;192816433;100;0.01;0;0;100;0.01;0;three_types;0;1;1.67552;100;0;0;0;100;0;1.67552;2;0.02;40;50000;-1.18788;4728;0.0125674;-0.0399125;1.56751;-0.0318611;0.539039;0;0;0;0;0;0;0;0;./core_6/sim_evolving_m_7_11_2016_230733_178493773
0.75;2;299913641;100;0.01;0;0;100;0.01;0;three_types;0;1;1.67552;100;0;0;0;100;0;1.67552;2;0.02;40;50000;-1.18735;4748;0.00223612;0.093342;1.55916;0.085969;0.534468;0;0;0;0;0;0;0;0;./core_6/sim_evolving_m_7_11_2016_232651_285479230
0.25;2;478673159;100;0.01;0;0;100;0.01;0;three_types;0;1;1.78024;100;0;0;0;100;0;1.78024;2;0.02;0.7;50000;-0.611881;1223;-0.0117947;-0.0345457;1.10807;-0.01883;0.101319;0;0;0;0;0;0;0;0;./core_6/sim_evolving_m_7_11_2016_235309_464437694
0.75;2;318484544;100;0.01;0;0;100;0.01;0;three_types;0;1;1.78024;100;0;0;0;100;0;1.78024;2;0.02;0.7;50000;-0.60636;1302;0.0057046;-0.012973;1.08759;-0.0297182;0.114319;0;0;0;0;0;0;0;0;./core_6/sim_evolving_m_8_11_2016_001623_304150947
0.25;2;923401666;100;0.01;0;0;100;0.01;0;three_types;0;1;1.78024;100;0;0;0;100;0;1.78024;2;0.02;40;50000;-0.609568;4745;0.00237102;-0.0266874;1.46864;-0.0276483;0.457379;0;0;0;0;0;0;0;0;./core_7/sim_evolving_m_7_11_2016_205920_791958367
0.75;2;96804771;100;0.01;0;0;100;0.01;0;three_types;0;1;1.78024;100;0;0;0;100;0;1.78024;2;0.02;40;50000;-0.618852;4738;0.0163172;-0.00325458;1.62663;-0.0218244;0.565905;0;0;0;0;0;0;0;0;./core_7/sim_evolving_m_7_11_2016_212036_82575437
0.25;2;669120192;100;0.01;0;0;100;0.01;0;three_types;0;1;1.88496;100;0;0;0;100;0;1.88496;2;0.02;0.7;50000;1.89951;3106;0.00227027;-0.0234194;1.15028;-0.0227201;0.102988;0;0;0;0;0;0;0;0;./core_7/sim_evolving_m_7_11_2016_215723_654863771
0.75;2;717660309;100;0.01;0;0;100;0.01;0;three_types;0;1;1.88496;100;0;0;0;100;0;1.88496;2;0.02;0.7;50000;1.9014;3125;-0.0166632;-0.0152635;1.10176;-0.0459641;0.116376;0;0;0;0;0;0;0;0;./core_7/sim_evolving_m_7_11_2016_221833_703294013
0.25;2;81971571;100;0.01;0;0;100;0.01;0;three_types;0;1;1.88496;100;0;0;0;100;0;1.88496;2;0.02;40;50000;1.87592;4899;0.00690626;-0.0766387;1.50822;-0.0871256;0.545389;0;0;0;0;0;0;0;0;./core_7/sim_evolving_m_7_11_2016_224002_67488308
0.75;2;630775936;100;0.01;0;0;100;0.01;0;three_types;0;1;1.88496;100;0;0;0;100;0;1.88496;2;0.02;40;50000;1.90441;4911;0.00588454;-0.0526783;1.53968;-0.0704789;0.507142;0;0;0;0;0;0;0;0;./core_7/sim_evolving_m_7_11_2016_230247_616211600
0.25;2;842351988;100;0.01;0;0;100;0.01;0;three_types;0;1;1.98968;100;0;0;0;100;0;1.98968;2;0.02;0.7;50000;-1.63073;1325;-0.0110341;0.106263;1.11144;0.102869;0.125485;0;0;0;0;0;0;0;0;./core_7/sim_evolving_m_7_11_2016_232429_827664131
0.75;2;641377672;100;0.01;0;0;100;0.01;0;three_types;0;1;1.98968;100;0;0;0;100;0;1.98968;2;0.02;0.7;50000;-1.59572;1328;0.00234195;0.0813214;1.1125;0.0720873;0.112325;0;0;0;0;0;0;0;0;./core_7/sim_evolving_m_7_11_2016_234459_626965790
0.25;2;207842338;100;0.01;0;0;100;0.01;0;three_types;0;1;1.98968;100;0;0;0;100;0;1.98968;2;0.02;40;50000;-1.63168;4764;0.00637131;0.0610157;1.55271;0.0422208;0.560572;0;0;0;0;0;0;0;0;./core_7/sim_evolving_m_8_11_2016_000735_193719165
0.75;2;685069475;100;0.01;0;0;100;0.01;0;three_types;0;1;1.98968;100;0;0;0;100;0;1.98968;2;0.02;40;50000;-1.61629;4758;0.00247872;0.0449645;1.48672;0.0535487;0.522837;0;0;0;0;0;0;0;0;./core_7/sim_evolving_m_8_11_2016_003401_669845507
0.25;2;426736542;100;0.01;0;0;100;0.01;0;three_types;0;1;2.0944;100;0;0;0;100;0;2.0944;2;0.02;0.7;50000;-0.000204131;1350;0.0054262;-0.0678693;1.102;-0.05912;0.0987691;0;0;0;0;0;0;0;0;./core_8/sim_evolving_m_7_11_2016_205920_362652639
0.75;2;220266159;100;0.01;0;0;100;0.01;0;three_types;0;1;2.0944;100;0;0;0;100;0;2.0944;2;0.02;0.7;50000;-0.00545261;1353;-0.012462;-0.078651;1.12041;-0.0772829;0.119981;0;0;0;0;0;0;0;0;./core_8/sim_evolving_m_7_11_2016_211913_206345825
0.25;2;127819598;100;0.01;0;0;100;0.01;0;three_types;0;1;2.0944;100;0;0;0;100;0;2.0944;2;0.02;40;50000;-0.0224475;4745;0.00417434;-0.0133089;1.49537;-0.0180623;0.525266;0;0;0;0;0;0;0;0;./core_8/sim_evolving_m_7_11_2016_214125_113424419
0.75;2;192627757;100;0.01;0;0;100;0.01;0;three_types;0;1;2.0944;100;0;0;0;100;0;2.0944;2;0.02;40;50000;0.00469257;4760;0.0081741;-0.0723651;1.58848;-0.0775668;0.561039;0;0;0;0;0;0;0;0;./core_8/sim_evolving_m_7_11_2016_220239_178581876
